ip_armies_size|部 隊 規 模 
ip_character_backgrounds_text|進 入 北 地 的 玩 家 可 以 選 擇 來 自 不 同 的 社 會 背 景 。 這 個 選 擇 不 僅 僅 會 影 響 到 他 或 她 的 起 始 技 能 和 裝 備 ， 還 會 影 響 到 他 或 者 她 的 冒 險 生 涯 。 ^^ 北 地 的 戰 事 和 政 治 傳 統 性 地 歸 男 性 貴 族 所 支 配 。 一 名 男 性 貴 族 玩 家 角 色 會 發 現 他 很 快 就 在 這 個 「 大 男 子 」 俱 樂 部 裡 如 魚 得 水 ， 而 女 性 和 平 民 身 份 則 會 在 奮 斗 之 路 上 遇 到 額 外 的 障 礙 。 如 果 你 選 擇 作 為 一 名 男 性 貴 族 來 開 始 開 始 游 戲 ， 你 可 以 看 作 是 以 「 簡 單 」 難 度 來 開 始 游 戲 。 以 女 性 貴 族 或 者 男 性 平 民 開 始 則 要 難 度 高 一 點 ， 而 以 女 性 平 民 開 局 則 可 能 是 以 最 具 挑 戰 的 方 式 開 始 游 戲 。 ^^ 盡 管 這 樣 ， 女 性 也 有 開 局 的 優 勢 。 很 明 顯 的 就 是 招 兵 ， 一 名 女 性 勇 士 自 身 很 能 引 人 注 意 ， 這 樣 她 能 夠 比 男 性 更 快 地 樹 立 自 己 的 名 聲 。 同 樣 地 ， 按 照 慣 例 女 的 也 比 男 的 要 更 容 易 通 過 婚 姻 通 往 社 會 高 層 ， 並 且 女 的 可 以 通 過 戰 略 婚 姻 聯 盟 比 她 的 男 性 配 偶 獲 得 的 更 多 。 ^^ 最 後 ， 記 住 這 游 戲 裡 ， 英 雄 不 問 出 處 ， 王 侯 將 相 ， 寧 有 種 乎 。 不 論 貴 族 還 是 平 民 ， 男 性 還 是 女 性 ， 結 婚 還 是 單 身 — — 任 何 人 都 有 可 能 成 為 北 地 的 統 治 者 ， 如 果 他 們 足 夠 勇 敢 ， 幸 運 或 者 智 慧 的 話 。 
ip_military_campaigns|軍 事 戰 爭 
ip_military_campaigns_text|當 北 地 諸 王 國 開 始 戰 事 ， 他 們 的 軍 隊 有 兩 種 基 本 的 進 攻 方 式 。 他 們 會 試 圖 進 攻 村 莊 並 摧 毀 它 ， 破 壞 敵 人 的 聲 望 和 經 濟 。 或 者 ， 他 們 可 以 試 圖 奪 取 並 占 據 城 堡 或 者 城 鎮 ， 擴 張 領 土 。 這 第 二 種 方 式 包 括 長 期 ， 血 腥 的 圍 攻 ， 但 是 能 產 生 更 有 決 定 性 的 成 果 。 ^^ 得 記 住 很 重 要 的 一 點 在 北 地 的 國 家 裡 沒 有 按 照 統 治 者 要 求 常 駐 各 處 的 常 備 軍 。 相 對 的 ， 不 列 顛 各 國 由 權 臣 貴 族 及 其 各 自 從 屬 所 招 募 的 封 建 傭 兵 所 保 護 。 有 時 候 ， 這 些 貴 族 私 自 發 動 對 敵 人 領 土 的 進 攻 ， 但 決 定 性 的 攻 擊 總 是 發 生 在 大 規 模 軍 團 被 召 集 的 時 候 。 各 個 王 國 的 元 帥 ， 一 名 由 國 王 指 派 的 貴 族 ， 會 在 戰 役 開 始 前 召 集 軍 團 並 率 領 他 們 投 入 戰 斗 。 然 而 ， 他 也 需 要 注 意 別 讓 他 們 過 於 戀 戰 。 否 則 ， 軍 團 就 會 開 始 瓦 解 ， 因 為 那 些 領 主 會 各 自 離 開 去 忙 他 們 自 己 的 事 情 ， 而 大 軍 就 會 變 得 容 易 遭 受 對 方 的 反 擊 。 ^^ 因 此 ， 在 北 地 ， 戰 爭 的 節 奏 通 常 就 像 是 兩 個 單 獨 的 戰 斗 者 之 間 的 決 斗 一 樣 。 一 方 會 糾 集 自 己 的 力 量 尋 求 對 敵 方 領 土 的 一 次 猛 攻 。 如 果 元 帥 倉 促 間 集 結 領 主 們 的 時 間 過 短 ， 他 就 不 能 實 施 任 何 有 效 的 攻 擊 。 如 果 他 花 的 時 間 過 長 ， 那 戰 役 也 許 會 在 還 沒 開 始 之 前 就 結 束 。 大 國 對 小 國 擁 有 優 勢 ， 就 像 一 名 強 壯 的 戰 士 比 弱 小 的 對 手 要 厲 害 ， 但 是 一 個 國 家 政 治 上 的 凝 聚 力 也 不 能 忽 視 ， 就 像 一 個 耐 力 過 人 的 斗 士 會 比 他 的 對 手 活 得 更 久 。 有 時 候 ， 兩 個 國 家 的 軍 隊 會 迎 頭 碰 上 ， 軍 隊 的 士 氣 和 數 量 將 決 定 這 場 大 決 戰 的 結 果 。 ^^ 王 國 們 對 於 其 敵 人 總 是 缺 乏 情 報 。 進 攻 方 的 領 主 需 要 頻 繁 地 偵 查 敵 人 的 領 土 來 決 定 哪 個 要 塞 也 許 易 於 攻 擊 。 守 衛 本 土 的 軍 隊 會 有 從 城 堡 和 城 鎮 得 到 警 報 的 優 勢 ， 它 們 會 傳 播 敵 人 在 其 附 近 行 動 的 情 報 。 然 而 ， 這 些 情 報 並 不 精 確 ， 特 別 是 對 於 敵 軍 的 數 量 方 面 。 解 圍 或 者 援 救 村 莊 的 防 守 方 也 許 能 擊 敗 一 支 沒 有 准 備 的 進 攻 部 隊 — — 或 者 失 算 ， 成 為 被 打 敗 的 一 方 。 而 對 於 進 攻 方 ， 必 須 要 小 心 他 們 深 入 敵 後 有 多 遠 ， 而 好 戰 的 元 帥 要 比 謹 慎 的 元 帥 更 冒 險 。 ^^ 玩 家 會 期 望 加 入 其 陣 營 的 軍 事 戰 役 ， 比 如 加 入 軍 團 ， 或 者 打 頭 陣 去 敵 人 領 土 偵 查 。 某 些 玩 家 也 許 會 發 現 他 們 國 家 的 元 帥 個 人 風 格 太 謹 慎 了 ， 或 者 太 好 戰 了 。 這 種 情 況 下 ， 他 們 可 以 串 通 其 他 領 主 來 試 圖 更 換 元 帥 ， 或 者 尋 求 支 持 來 自 己 當 上 元 帥 。 ^^ 大 部 分 戰 爭 持 續 有 限 的 一 段 時 間 。 一 名 想 要 開 戰 的 國 王 ， 為 了 榮 耀 ， 覺 得 有 義 務 短 時 間 裡 解 決 沖 突 。 然 而 ， 除 非 他 狠 揍 了 敵 人 一 頓 。 他 也 許 很 快 開 始 尋 求 平 息 沖 突 的 途 徑 ， 以 免 自 己 暴 露 在 第 三 方 部 隊 的 攻 擊 威 脅 之 下 。 北 地 的 統 治 者 們 都 清 楚 地 明 白 今 天 的 盟 友 也 許 明 天 就 會 成 為 敵 人 ， 反 之 亦 然 。 
ip_siege_warfare|攻 城 戰 
ip_siege_warfare_text|在 《 維 京 征 服 》 中 ， 攻 城 戰 將 為 你 准 確 的 再 現 中 世 紀 攻 城 戰 爭 ， 當 玩 家 圍 城 和 准 備 進 攻 時 ， 有 兩 種 方 法 可 以 獲 勝： 一 種 是 把 敵 人 糧 草 消 耗 殆 盡 （ 饑 餓 、 疾 病 … ） ， 另 一 種 是 全 殲 敵 人 。 。 在 圍 城 模 式 中 ， 玩 家 的 主 要 任 務 是 防 止 敵 人 的 盟 友 進 行 增 援 或 糧 草 增 援 ， 同 時 可 以 命 令 部 下 進 行 降 低 敵 人 士 氣 、 傳 染 疾 病 或 破 壞 糧 草 儲 備 等 行 動 。 圍 城 模 式 需 要 較 長 時 間 ， 但 是 對 於 部 隊 傷 亡 較 小 。 而 在 強 攻 模 式 中 ， 玩 家 可 以 直 接 采 取 行 動 ， 並 可 以 使 用 攻 城 梯 、 攻 城 盾 等 攻 城 武 器 ， 同 時 玩 家 還 以 選 擇 挑 釁 行 為 （ 焚 燒 外 城 建 築 和 城 牆 ) 。 強 攻 模 式 可 以 快 速 占 領 城 市 ， 但 此 種 模 式 消 耗 部 隊 較 多 。 另 外 ， 如 果 目 標 城 鎮 靠 近 大 海 有 碼 頭 時 ， 玩 家 還 可 以 組 建 一 個 艦 隊 從 海 上 攻 擊 目 標 城 鎮 。 總 之 新 的 攻 城 模 式 的 娛 樂 性 和 特 點 難 以 在 這 裡 詳 細 描 述 ， 最 好 的 方 法 是 你 親 自 進 入 游 戲 體 驗 ， 歡 迎 來 到 維 京 征 服 攻 城 戰 模 式 ！
ip_sea_travel|航 海 
ip_sea_travel_text|世 界 地 圖 上 港 口 之 間 的 渡 輪 可 以 運 輸 你 的 隊 伍 。 當 你 的 隊 伍 規 模 不 大 時 ， 這 是 很 便 宜 的 方 式 ， 隨 著 你 隊 伍 規 模 的 增 加 ， 費 用 也 會 相 應 增 加 。 ^^如 果 需 要 在 海 上 做 遠 距 離 航 行 ， 你 可 以 在 兩 座 港 口 城 鎮 之 間 完 成 。 你 可 以 在 城 鎮 菜 單 中 選 擇 或 者 通 過 和 港 口 城 鎮 中 的 造 船 師 對 話 來 開 始 旅 行 。 同 渡 輪 一 樣 ， 費 用 取 決 於 你 的 隊 伍 規 模 。 ^^當 你 擁 有 了 你 自 己 的 戰 船 時 ， 你 可 以 通 過 點 擊 城 鎮 目 錄 中 的 "起 航 "來 搭 乘 你 的 船 。 隨 後 你 會 回 到 世 界 地 圖 中 ， 不 過 你 是 在 船 上 而 不 是 在 馬 上 。 在 海 上 航 行 和 在 陸 上 行 軍 很 類 似 。 ^^游 戲 中 有 兩 種 登 陸 方 式 。 你 可 以 通 過 點 擊 港 口 或 者 登 陸 點 的 方 式 回 到 岸 上 。 要 想 找 到 一 個 登 陸 點 ， 你 需 要 盡 可 能 靠 近 海 岸 航 行 ， 或 者 右 鍵 點 擊 你 的 軍 團 ， 選 擇 "尋 找 最 近 的 登 陸 點 "選 項 。 在 港 口 中 ， 點 擊 登 陸 點 停 靠 你 的 船 只 。 不 管 何 種 情 況 ， 你 的 船 都 會 停 靠 在 你 登 陸 的 地 方 。 ^^
ip_sea_battle|海 戰 
ip_sea_battle_text|在 開 始 享 受 海 上 生 活 的 某 個 時 刻 ， 你 會 參 與 到 海 戰 中 來 。 ^^首 先 ， 你 需 要 明 白 如 何 控 制 你 的 戰 船 。 你 可 以 通 過 箭 頭 ， 給 出 前 進 、 快 速 前 進 、 後 退 和 原 地 待 命 的 命 令 。 指 示 箭 頭 會 依 照 這 些 指 令 做 出 上 下 變 化 。 你 也 可 以 給 出 直 行 、 右 舵 、 右 滿 舵 、 左 舵 、 左 滿 舵 的 指 令 ， 左 右 箭 頭 會 根 據 指 令 做 出 變 化 。 ^^當 前 的 指 令 會 通 過 箭 頭 顯 示 在 你 船 只 的 右 上 角 。 按 回 車 鍵 起 航 ， 按 BACKSPACE 鍵 獲 得 戰 術 視 野 。 嘗 試 這 些 指 令 ， 來 獲 得 操 縱 船 只 的 感 覺 ， 並 感 受 風 的 影 響 。 ^^當 你 足 夠 靠 近 敵 人 的 艦 船 時 ， 將 准 備 開 始 登 陸 。 戰 船 會 撞 到 一 起 ， 並 打 響 戰 斗 。 ^如 果 你 足 夠 幸 運 ， 你 會 在 獲 勝 後 俘 獲 敵 人 的 旗 艦 。 ^^在 海 戰 中 ， 當 你 擁 有 不 止 一 艘 船 ， 你 可 以 做 出 "原 地 待 命 "或 者 "沖 鋒 "的 指 令 ， 這 些 指 令 在 第 九 條 "隊 列 部 署 "選 項 下 。 你 的 軍 隊 列 表 中 第 一 支 隊 伍 ， 會 跟 隨 你 一 起 登 陸 你 的 旗 艦 。 其 他 的 隊 伍 則 會 登 上 余 下 的 船 只 。 你 可 以 在 港 口 或 者 在 海 上 扎 營 時 更 改 你 的 旗 艦 。 ^^當 你 有 一 支 相 當 大 的 艦 隊 ， 你 可 以 從 海 上 襲 擊 城 鎮 。 想 要 如 此 做 ， 只 需 要 到 達 並 點 擊 敵 人 港 口 城 鎮 ， 就 會 出 現 攻 擊 選 項 ， 而 不 需 要 先 登 陸 才 能 發 動 攻 擊 。 
ip_ship_info|船 只 
ip_ship_info_text|遲 早 你 都 會 想 要 買 一 艘 船 。 有 好 幾 個 理 由 支 持 你 如 此 做 。 從 長 遠 來 看 ， 擁 有 自 己 的 船 ， 是 最 便 宜 的 航 海 方 式 。 這 給 了 你 足 夠 的 在 海 上 移 動 的 自 由 ， 並 且 給 你 帶 來 了 貿 易 和 行 軍 的 新 機 遇 。 ^^從 另 一 個 角 度 說 ， 它 也 有 缺 點 。 首 先 ， 一 艘 船 是 昂 貴 不 菲 的 ， 你 可 能 需 要 節 衣 縮 食 節 省 出 一 筆 錢 來 支 付 它 。 其 次 ， 船 只 只 能 裝 載 有 數 量 限 制 的 軍 隊 。 ^^另 外 一 個 需 要 考 慮 的 重 要 因 素 是 速 度 ， 有 一 艘 足 夠 快 的 船 ， 你 可 以 成 功 追 上 敵 人 或 者 從 他 們 手 裡 逃 脫 。 船 只 的 速 度 由 它 的 類 型 和 狀 態 決 定 。 ^^船 只 使 用 的 木 料 決 定 它 的 耐 力 。 橡 木 船 就 非 常 結 實 耐 用 ， 櫸 木 船 可 能 會 需 要 經 常 修 理 。 ^^當 你 覺 得 已 經 是 時 候 購 買 一 艘 船 的 時 候 ， 在 城 鎮 目 錄 中 點 擊 "查 看 船 只 "選 項 ， 或 者 和 造 船 師 交 談 。 港 口 城 鎮 可 以 最 多 有 3艘 船 待 售 ， 但 是 有 時 候 可 能 一 艘 也 沒 有 。 待 售 船 只 的 類 型 和 數 量 是 隨 著 時 間 增 加 而 變 化 的 。 盡 管 所 有 的 港 口 城 鎮 都 有 船 只 出 售 ， 想 要 找 到 最 好 的 船 ， 還 請 去 諾 爾 斯 和 弗 裡 斯 蘭 的 港 口 。 想 要 查 看 你 的 船 只 ， 可 以 在 城 鎮 目 錄 下 點 擊 "查 看 船 只 "選 項 ， 或 者 走 到 它 所 在 的 碼 頭 。 ^^在 港 口 ， 你 可 以 定 制 船 帆 或 者 給 任 何 橡 木 船 刷 漆 。 有 一 種 特 殊 的 帆 只 提 供 給 玩 家 的 船 ， 可 以 用 專 用 的 圖 形 編 輯 器 修 改（ 不 包 括 在 維 京 征 服） 。 需 要 更 多 的 信 息 ， 請 參 見 本 DLC 中 的 文 件 夾 。 ^^當 你 擁 有 了 自 己 的 船 只 ， 造 船 師 會 以 一 種 與 以 往 不 同 的 方 式 同 你 交 互 ， 並 且 會 毫 不 猶 豫 提 供 建 議 。 造 船 師 也 提 供 船 只 定 制 服 務 。 但 是 更 好 的 船 只 會 需 求 特 殊 材 料 ， 你 需 要 獲 得 它 們 並 提 供 給 造 船 師 。 更 好 的 船 同 樣 需 求 更 多 的 時 間 去 建 造 。 優 秀 的 造 船 師 出 現 在 諾 爾 斯 港 口 。 你 自 己 打 造 的 船 只 ， 可 以 在 船 只 自 定 義 目 錄 下 自 由 命 名 。 
ip_wounds|重 傷 
